,title
860,Prometheus (2012)
861,Psycho (1960)
862,Pulp Fiction (1994)
863,Punch-Drunk Love (2002)
864,"Pursuit of Happyness, The (2006)"
865,Pushing Tin (1999)
866,Quantum of Solace (2008)
867,"Quick and the Dead, The (1995)"
868,Quiz Show (1994)
869,Raging Bull (1980)
870,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
871,Rain Man (1988)
872,Raising Arizona (1987)
873,Ransom (1996)
874,Ratatouille (2007)
875,Reality Bites (1994)
876,Rear Window (1954)
877,Red Dragon (2002)
878,"Remains of the Day, The (1993)"
879,Remember the Titans (2000)
880,Repo Man (1984)
881,Requiem for a Dream (2000)
882,Reservoir Dogs (1992)
883,Resident Evil (2002)
884,"Return of the Pink Panther, The (1975)"
885,Richie Rich (1994)
886,"Right Stuff, The (1983)"
887,"Ring, The (2002)"
888,Rise of the Planet of the Apes (2011)
889,Risky Business (1983)
890,"River Runs Through It, A (1992)"
891,"River Wild, The (1994)"
892,Road Trip (2000)
893,"Road Warrior, The (Mad Max 2) (1981)"
894,Road to Perdition (2002)
895,Rob Roy (1995)
896,Robin Hood (1973)
897,Robin Hood: Men in Tights (1993)
898,Robin Hood: Prince of Thieves (1991)
899,RoboCop (1987)
900,RoboCop 2 (1990)
901,RoboCop 3 (1993)
902,"Rock, The (1996)"
903,"Rocketeer, The (1991)"
904,Rocky (1976)
905,"Rocky Horror Picture Show, The (1975)"
906,Rocky II (1979)
907,Rocky III (1982)
908,Rocky IV (1985)
909,Roger & Me (1989)
910,Rogue One: A Star Wars Story (2016)
911,Roman Holiday (1953)
912,Romancing the Stone (1984)
913,Romy and Michele's High School Reunion (1997)
914,Ronin (1998)
915,Rosemary's Baby (1968)
916,Rounders (1998)
917,"Royal Tenenbaums, The (2001)"
918,Rudy (1993)
919,Rumble in the Bronx (Hont faan kui) (1995)
920,Run Lola Run (Lola rennt) (1998)
921,Runaway Bride (1999)
922,"Running Man, The (1987)"
923,Rush Hour (1998)
924,Rush Hour 2 (2001)
925,Rushmore (1998)
926,Sabrina (1954)
927,Sabrina (1995)
928,"Saint, The (1997)"
929,"Sandlot, The (1993)"
930,"Santa Clause, The (1994)"
931,Saving Private Ryan (1998)
932,Saw (2004)
933,Say Anything... (1989)
934,"Scanner Darkly, A (2006)"
935,Scarface (1983)
936,Scary Movie (2000)
937,Scary Movie 2 (2001)
938,Scent of a Woman (1992)
939,Schindler's List (1993)
940,School of Rock (2003)
941,Scott Pilgrim vs. the World (2010)
942,Scream (1996)
943,Scream 2 (1997)
944,Scream 3 (2000)
945,Scrooged (1988)
946,Searching for Bobby Fischer (1993)
947,"Secret Garden, The (1993)"
948,"Secret of NIMH, The (1982)"
949,Secretary (2002)
950,Sense and Sensibility (1995)
951,Serendipity (2001)
952,Serenity (2005)
953,Seven (a.k.a. Se7en) (1995)
954,Seven Samurai (Shichinin no samurai) (1954)
955,"Sex, Lies, and Videotape (1989)"
956,Sgt. Bilko (1996)
957,Shakespeare in Love (1998)
958,Shallow Hal (2001)
959,Shanghai Noon (2000)
960,Shaun of the Dead (2004)
961,"Shawshank Redemption, The (1994)"
962,She's All That (1999)
963,Sherlock Holmes (2009)
964,Sherlock Holmes: A Game of Shadows (2011)
965,Shine (1996)
966,"Shining, The (1980)"
967,Shooter (2007)
968,Showgirls (1995)
969,Shrek (2001)
970,Shrek 2 (2004)
971,Shrek the Third (2007)
972,Shutter Island (2010)
973,Sideways (2004)
974,Signs (2002)
975,"Silence of the Lambs, The (1991)"
976,Silver Linings Playbook (2012)
977,"Simple Plan, A (1998)"
978,"Simpsons Movie, The (2007)"
979,Sin City (2005)
980,Singin' in the Rain (1952)
981,Sister Act (1992)
982,Sixteen Candles (1984)
983,"Sixth Sense, The (1999)"
984,Skyfall (2012)
985,Sleeper (1973)
986,Sleepers (1996)
987,Sleeping Beauty (1959)
988,Sleepless in Seattle (1993)
989,Sleepy Hollow (1999)
990,Sliding Doors (1998)
991,Sling Blade (1996)
992,Slumdog Millionaire (2008)
993,Snatch (2000)
994,Sneakers (1992)
995,Snow White and the Seven Dwarfs (1937)
996,Snowpiercer (2013)
997,So I Married an Axe Murderer (1993)
998,"Social Network, The (2010)"
999,Some Like It Hot (1959)
1000,"Sound of Music, The (1965)"
1001,Source Code (2011)
1002,"South Park: Bigger, Longer and Uncut (1999)"
1003,Space Cowboys (2000)
1004,Space Jam (1996)
1005,Spaceballs (1987)
1006,Spawn (1997)
1007,"Specialist, The (1994)"
1008,Species (1995)
1009,Speed (1994)
1010,Sphere (1998)
1011,Spider-Man (2002)
1012,Spider-Man 2 (2004)
1013,Spider-Man 3 (2007)
1014,Spirited Away (Sen to Chihiro no kamikakushi) (2001)
1015,Splash (1984)
1016,Spy Game (2001)
1017,Spy Hard (1996)
1018,Spy Kids (2001)
1019,Stand by Me (1986)
1020,Star Trek (2009)
1021,Star Trek II: The Wrath of Khan (1982)
1022,Star Trek III: The Search for Spock (1984)
1023,Star Trek IV: The Voyage Home (1986)
1024,Star Trek Into Darkness (2013)
1025,Star Trek V: The Final Frontier (1989)
1026,Star Trek VI: The Undiscovered Country (1991)
1027,Star Trek: First Contact (1996)
1028,Star Trek: Generations (1994)
1029,Star Trek: Insurrection (1998)
1030,Star Trek: The Motion Picture (1979)
1031,Star Wars: Episode I - The Phantom Menace (1999)
1032,Star Wars: Episode II - Attack of the Clones (2002)
1033,Star Wars: Episode III - Revenge of the Sith (2005)
1034,Star Wars: Episode IV - A New Hope (1977)
1035,Star Wars: Episode V - The Empire Strikes Back (1980)
1036,Star Wars: Episode VI - Return of the Jedi (1983)
1037,Star Wars: Episode VII - The Force Awakens (2015)
1038,Stardust (2007)
1039,Stargate (1994)
1040,Starship Troopers (1997)
1041,Starsky & Hutch (2004)
1042,Step Brothers (2008)
1043,Stigmata (1999)
1044,"Sting, The (1973)"
1045,Strange Days (1995)
1046,Stranger than Fiction (2006)
1047,Strangers on a Train (1951)
1048,Strictly Ballroom (1992)
1049,Stripes (1981)
1050,Striptease (1996)
1051,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)
1052,Super 8 (2011)
1053,Super Mario Bros. (1993)
1054,Super Size Me (2004)
1055,Super Troopers (2001)
1056,Superbad (2007)
1057,Superman (1978)
1058,Superman II (1980)
1059,Superman III (1983)
1060,Superman Returns (2006)
1061,Sweeney Todd: The Demon Barber of Fleet Street (2007)
1062,Sweet Home Alabama (2002)
1063,Swingers (1996)
1064,"Sword in the Stone, The (1963)"
1065,Swordfish (2001)
1066,Taken (2008)
1067,"Talented Mr. Ripley, The (1999)"
1068,Talladega Nights: The Ballad of Ricky Bobby (2006)
1069,Tangled (2010)
1070,Tank Girl (1995)
1071,Tarzan (1999)
1072,Taxi Driver (1976)
1073,Team America: World Police (2004)
1074,Ted (2012)
1075,Teenage Mutant Ninja Turtles (1990)
1076,"Terminal, The (2004)"
1077,Terminator 2: Judgment Day (1991)
1078,Terminator 3: Rise of the Machines (2003)
1079,"Terminator, The (1984)"
1080,Terms of Endearment (1983)
1081,Thank You for Smoking (2006)
1082,That Thing You Do! (1996)
1083,The Butterfly Effect (2004)
1084,The Count of Monte Cristo (2002)
1085,The Devil's Advocate (1997)
1086,The Hunger Games (2012)
1087,The Hunger Games: Catching Fire (2013)
1088,The Hunger Games: Mockingjay - Part 1 (2014)
1089,The Imitation Game (2014)
1090,The Lego Movie (2014)
1091,The Machinist (2004)
1092,The Martian (2015)
1093,The Revenant (2015)
1094,The Scorpion King (2002)
1095,Thelma & Louise (1991)
1096,There Will Be Blood (2007)
1097,There's Something About Mary (1998)
1098,"Thin Red Line, The (1998)"
1099,"Thing, The (1982)"
1100,"Third Man, The (1949)"
1101,This Is Spinal Tap (1984)
1102,"Thomas Crown Affair, The (1999)"
1103,Thor (2011)
1104,Thor: The Dark World (2013)
1105,Three Colors: Blue (Trois couleurs: Bleu) (1993)
1106,Three Kings (1999)
1107,"Three Musketeers, The (1993)"
1108,Thunderball (1965)
1109,Time Bandits (1981)
1110,"Time Machine, The (2002)"
1111,"Time to Kill, A (1996)"
1112,Timecop (1994)
1113,Tin Cup (1996)
1114,Titan A.E. (2000)
1115,Titanic (1997)
1116,To Catch a Thief (1955)
1117,To Die For (1995)
1118,To Kill a Mockingbird (1962)
1119,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
1120,Tombstone (1993)
1121,Tommy Boy (1995)
1122,Tomorrow Never Dies (1997)
1123,Tootsie (1982)
1124,Top Gun (1986)
1125,Total Recall (1990)
1126,"Town, The (2010)"
1127,Toy Story (1995)
1128,Toy Story 2 (1999)
1129,Toy Story 3 (2010)
1130,Trading Places (1983)
1131,Traffic (2000)
1132,Training Day (2001)
1133,Trainspotting (1996)
1134,Transformers (2007)
1135,"Transporter, The (2002)"
1136,"Triplets of Belleville, The (Les triplettes de Belleville) (2003)"
1137,Tron (1982)
1138,Tropic Thunder (2008)
1139,Troy (2004)
1140,True Grit (2010)
1141,True Lies (1994)
1142,True Romance (1993)
1143,"Truman Show, The (1998)"
1144,"Truth About Cats & Dogs, The (1996)"
1145,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
1146,Twilight (2008)
1147,Twister (1996)
1148,U-571 (2000)
1149,U.S. Marshals (1998)
1150,Unbreakable (2000)
1151,Under Siege (1992)
1152,Under Siege 2: Dark Territory (1995)
1153,Underworld (2003)
1154,Unforgiven (1992)
1155,"Untouchables, The (1987)"
1156,Up (2009)
1157,Up in the Air (2009)
1158,"Usual Suspects, The (1995)"
1159,V for Vendetta (2006)
1160,Van Helsing (2004)
1161,Vanilla Sky (2001)
1162,Vertigo (1958)
1163,"View to a Kill, A (1985)"
1164,"Village, The (2004)"
1165,"Virgin Suicides, The (1999)"
1166,WALL·E (2008)
1167,Wag the Dog (1997)
1168,Waiting for Guffman (1996)
1169,Waking Ned Devine (a.k.a. Waking Ned) (1998)
1170,"Walk in the Clouds, A (1995)"
1171,Walk the Line (2005)
1172,Wallace & Gromit in The Curse of the Were-Rabbit (2005)
1173,Wallace & Gromit: A Close Shave (1995)
1174,Wallace & Gromit: The Best of Aardman Animation (1996)
1175,Wallace & Gromit: The Wrong Trousers (1993)
1176,Wanted (2008)
1177,War of the Worlds (2005)
1178,WarGames (1983)
1179,Watchmen (2009)
1180,"Waterboy, The (1998)"
1181,Waterworld (1995)
1182,Wayne's World (1992)
1183,Wayne's World 2 (1993)
1184,We're the Millers (2013)
1185,Wedding Crashers (2005)
1186,"Wedding Planner, The (2001)"
1187,"Wedding Singer, The (1998)"
1188,Weekend at Bernie's (1989)
1189,Weird Science (1985)
1190,Welcome to the Dollhouse (1995)
1191,West Side Story (1961)
1192,What About Bob? (1991)
1193,What Lies Beneath (2000)
1194,What Women Want (2000)
1195,What's Eating Gilbert Grape (1993)
1196,When Harry Met Sally... (1989)
1197,While You Were Sleeping (1995)
1198,Whiplash (2014)
1199,White Men Can't Jump (1992)
1200,Who Framed Roger Rabbit? (1988)
1201,"Whole Nine Yards, The (2000)"
1202,Wild Things (1998)
1203,Wild Wild West (1999)
1204,William Shakespeare's Romeo + Juliet (1996)
1205,Willow (1988)
1206,Willy Wonka & the Chocolate Factory (1971)
1207,Witness (1985)
1208,"Wizard of Oz, The (1939)"
1209,"Wolf of Wall Street, The (2013)"
1210,Wonder Boys (2000)
1211,Working Girl (1988)
1212,"World Is Not Enough, The (1999)"
1213,Wreck-It Ralph (2012)
1214,"Wrestler, The (2008)"
1215,Wyatt Earp (1994)
1216,"X-Files: Fight the Future, The (1998)"
1217,X-Men (2000)
1218,X-Men Origins: Wolverine (2009)
1219,X-Men: Days of Future Past (2014)
1220,X-Men: First Class (2011)
1221,X-Men: The Last Stand (2006)
1222,X2: X-Men United (2003)
1223,Yes Man (2008)
1224,You've Got Mail (1998)
1225,Young Frankenstein (1974)
1226,Young Guns (1988)
1227,Zack and Miri Make a Porno (2008)
1228,Zodiac (2007)
1229,Zombieland (2009)
1230,Zoolander (2001)
1231,Zootopia (2016)
1232,eXistenZ (1999)
1233,xXx (2002)
1234,¡Three Amigos! (1986)
